label,x,y,plot_type,plot_num
ACB,0.0,138482.84333082315,path,0
ACB,1450.0,138482.84333082315,path,0
ACB,1565.2766198531651,139331.82583178935,path,0
ACB,1689.7178597647933,140106.8581070371,path,0
ACB,1824.0523172676951,140788.65200943212,path,0
ACB,1969.0665142124906,141367.77275206798,path,0
ACB,2125.609501815574,141951.70237102144,path,0
ACB,2294.5978318135526,142466.82599528966,path,0
ACB,2477.0209228300123,142772.26839735045,path,0
ACB,2673.9468533744343,142741.18264244564,path,0
ACB,2886.528615390993,142389.9804698026,path,0
ACB,3116.0108649714834,141805.87253393632,path,0
ACB,3363.737209757449,141075.57427354966,path,0
ACB,3631.158075698936,139997.28591058607,path,0
ACB,3919.839199229346,138255.75538697912,path,0
ACB,4231.470794577688,135980.55665323357,path,0
ACB,4567.8774498923785,133277.50034082896,path,0
ACB,4931.028810117958,129389.56421216192,path,0
ACB,5323.051109172422,124324.23697417811,path,0
ACB,5746.239618945549,118600.98842923628,path,0
ACB,6203.072088006504,112479.29715594859,path,0
ACB,6696.223248703676,105260.60757010242,path,0
ACB,7228.580477595222,97490.6316957557,path,0
ACB,7803.260700901262,89814.12829128013,path,0
ACB,8423.628643958462,82280.92274833683,path,0
ACB,9093.316531526618,74604.40638306519,path,0
ACB,9816.245354291645,67456.81425291787,path,0
ACB,10596.647826079285,61307.194281076394,path,0
ACB,11439.093166192946,55802.88001045403,path,0
ACB,12348.51385197513,50853.66269394064,path,0
ACB,13330.234498227319,46774.09831240355,path,0
ACB,14390.003032576078,43709.71592880351,path,0
ACB,15534.0243493155,41172.51205044888,path,0
ACB,16768.99663876781,39081.03688797832,path,0
ACB,18102.150604868668,37497.08124472939,path,0
ACB,19541.29180059431,36395.51079082404,path,0
ACB,21094.846329102504,35527.01387924294,path,0
ACB,22771.910178165173,34827.820131595996,path,0
ACB,24582.302476743636,34255.7539300448,path,0
ACB,26536.62298552095,33717.85997257438,path,0
ACB,28646.314157995876,33221.20954381236,path,0
ACB,30923.72813550321,32881.536581053486,path,0
ACB,33382.19906841288,32807.78431260256,path,0
ACB,36036.12118694537,32994.83003989053,path,0
ACB,38901.03307870405,33344.85400554422,path,0
ACB,41993.70866636556,33764.36814150804,path,0
ACB,45332.25541819808,34240.29250615595,path,0
ACB,48936.220366425805,34967.225677476024,path,0
ACB,52826.70455417143,35685.714893907134,path,0
ACB,57026.48658105881,36061.34266556271,path,0
ACB,61560.15597082871,35414.748867912334,path,0
ACB,66454.2571418292,34355.0472962954,path,0
ACB,71737.44482332104,33253.22346496349,path,0
ACB,77440.6518275523,32044.22550589607,path,0
ACB,83597.27015990132,30780.5954130703,path,0
ACB,90243.34652747739,29508.9558362269,path,0
ACB,97417.79339087421,28269.53320727447,path,0
ACB,105162.61679477352,27096.286870393134,path,0
ACB,113523.16231133573,26017.505507953567,path,0
ACB,122548.38053636535,25056.744144072723,path,0
ACB,132291.1136927182,24234.00044046316,path,0
ACB,142808.40501899912,23567.062551390874,path,0
ACB,154161.83275500743,23072.999029056176,path,0
ACB,166417.87067939778,22769.80291118062,path,0
ACB,179648.2773104889,22681.176059032714,path,0
ACB,193930.51604896976,23153.323591355744,path,0
ACB,209348.20872242167,24232.765302904776,path,0
ACB,225991.62518713594,25660.0065281294,path,0
ACB,243958.2118538229,27126.701572068025,path,0
ACB,263353.16223170643,28251.78850167443,path,0
ACB,284290.0328315088,28616.27289695425,path,0
ACB,306891.40803341346,28564.412127044372,path,0
ACB,331289.61781277234,28448.53485429515,path,0
ACB,357627.51252580876,28289.08629422424,path,0
